cui,drug_name
C3255647    ,ceteth-24
C3255648    ,ceteth-25
C4530330    ,ceteth-3
C4530331    ,ceteth-5
C3651755    ,ceteth-7
C0055146    ,cetiedil
C2911895    ,cetiri-d
C0055147    ,cetirizine
C2718720    ,cetraxal
C0950191    ,cetrimide
C0007903    ,cetrimides
C0055151    ,cetrimonium
C0209366    ,cetrorelix
C0939290    ,cetrotide
C0995188    ,cetuximab
C4257001    ,cetylev
C0007906    ,cetylpyridinium
C0719241    ,cevi-bid
C0093437    ,cevimeline
C1712042    ,chantix
C3663274    ,chapice
C0305603    ,charcoaid
C0719245    ,charcoaid-g
C0007955    ,charcoal
C0305605    ,charcocaps
C0719247    ,chardonna
C1170147    ,char-flo
C0719250    ,chemdal
C0719254    ,chemdec
C0719256    ,chemet
C1171495    ,chemocycline
C0719249    ,chem-sol
C0591248    ,chendol
C0699287    ,chenix
C1262564    ,chenocedon
C2724595    ,chenodal
C0085994    ,chenodeoxycholate
C0591249    ,chenofalk
C2918580    ,cheratussin
C0719270    ,chibroxin
C3163207    ,chigarid
C0719272    ,chiggerex
C0595574    ,chimax
C4059040    ,china-gel
C1882990    ,chirhostim
C0875986    ,chirocaine
C0719057    ,c-hist-sr
C0162969    ,chitosan
C0719290    ,chlo-amine
C0055904    ,chlophedianol
C0719298    ,chloracol
C0719299    ,chlorafed
C0008163    ,chlorambucil
C0055332    ,chloramine-t
C0008168    ,chloramphenicol
C3245371    ,chlorascrub
C1971817    ,chloraseptic
C1154250    ,chlorate
C0008183    ,chlorcyclizine
C0008188    ,chlordiazepoxide
C0719306    ,chlordinium
C2726923    ,chlordrine
C0719308    ,chloresium
C1170160    ,chlorfed-a
C0055355    ,chlorfenethazine
C0008196    ,chlorhexidine
C1589292    ,chlorhexigard
C0008209    ,chlorine
C0262965    ,chlormadinone
C0719294    ,chlor-mal
C1703671    ,chlor-mes
C0008221    ,chlormethiazole
C0025033    ,chlormethine
C0008223    ,chlormezanone
C0719311    ,chlornade
C0109398    ,chloroacetate
C0008232    ,chlorobutanol
C0055402    ,chlorocresol
C0008238    ,chloroform
C0719312    ,chloromag
C0591251    ,chloromycetin
C0008260    ,chlorophyll
C0055435    ,chlorophyllin
C0055443    ,chloroprocaine
C0055444    ,chloropropylate
C0719314    ,chloroptic
C0055445    ,chloropyramine
C0008269    ,chloroquine
C0719315    ,chlorostat
C0164505    ,chlorothen
C0772197    ,chlorotheophylline
C0008273    ,chlorothiazide
C0301297    ,chlorothymol
C0008275    ,chlorotrianisene
C0055461    ,chloroxine
C0055463    ,chloroxylenol
C0055465    ,chlorozotocin
C2726926    ,chlorphedrin
C0719318    ,chlorphen
C0719295    ,chlor-phen
C0008281    ,chlorphenamine
C0008280    ,chlorphenesin
C1321946    ,chlorphenindione
C0008281    ,chlorpheniramine
C0719296    ,chlor-phenit
C0055468    ,chlorphenoxamine
C2365409    ,chlorpram
C0164858    ,chlorproethazine
C0008286    ,chlorpromazine
C0008287    ,chlorpropamide
C0008290    ,chlorprothixene
C0008292    ,chlorquinaldol
C0008294    ,chlortalidone
C1876739    ,chlortan
C0008293    ,chlortetracycline
C0008294    ,chlorthalidone
C0055478    ,chlorthenoxazin
C3848516    ,chlortheophylline
C0699075    ,chlor-trimeton
C0008296    ,chlorzoxazone
C1602271    ,chlotride
C0719323    ,chocolaxed
C0591252    ,chocovite
C0719324    ,cholac
C2917584    ,cholan
C1170163    ,cholan-hmb
C0109497    ,cholate
C4018440    ,cholbam
C0008318    ,cholecalciferol
C0008328    ,cholecystokinin
C0591253    ,choledyl
C0109529    ,choledyl-sa
C0008377    ,cholesterol
C1154253    ,cholestin
C3255908    ,choleth-20
C0008405    ,choline
C0733795    ,choloxin
C0719330    ,chooz
C0594023    ,choragon
C0719331    ,chorex
C0719332    ,chorigon
C2732077    ,choron
C0719333    ,choron-10
C1601714    ,chorpromazine
C0008527    ,chorulon
C0719334    ,chroma-pak
C1569356    ,chromelin
C0008574    ,chromium
C0008593    ,chromonar
C4080716    ,chronomate
C0719340    ,chronulac
C0008721    ,chrysarobin
C0055661    ,chrysin
C3490258    ,chrysosplenetin
C1263250    ,chymar-zon
C0917790    ,chymodiactin
C0008736    ,chymopapain
C0035100    ,chymosin
C0008742    ,chymotrypsin
C0967376    ,cialis
C0055720    ,cibenzoline
C0907850    ,ciclesonide
C0056686    ,cicletanine
C3153760    ,ciclodan
C1449460    ,cicloferon
C0055711    ,ciclopirox
C0010592    ,ciclosporin
C3474175    ,cidacin
C2939593    ,cidaflex
C4059479    ,cidaleaze
C0286079    ,cidofovir
C0591255    ,cidomycin
C0055720    ,cifenline
C0008777    ,cilastatin
C0055723    ,cilazapril
C0055729    ,cilostazol
C0701044    ,ciloxan
C0008783    ,cimetidine
C2343521    ,cimzia
C1337242    ,cinacalcet
C1170165    ,cinalog
C0591256    ,cinazière
C0012050    ,cinchocaine
C0055738    ,cineole
C0055747    ,cinitapride
C0055754    ,cinnamaldehyde
C3496185    ,cinnamate
C0055752    ,cinnamedrine
C0008803    ,cinnarizine
C0591257    ,cinobac
C1170166    ,cinolar
C1588705    ,cinolone
C0008806    ,cinoxacin
C0950387    ,cinoxate
C4224860    ,cinqair
C2366371    ,cinryze
C4541790    ,cinvanti
C1693263    ,cip-fenofibrate
C0591259    ,cipramil
C0701042    ,cipro
C1330135    ,ciprodex
C0055775    ,ciprofibrate
C1601917    ,ciproflaxacin
C0008809    ,ciprofloxacin
C0591260    ,ciproxin
C0072916    ,cisapride
C1096766    ,cisatracurium
C0008838    ,cisplatin
C1602003    ,citalopraam
C0008845    ,citalopram
C0591261    ,citanest
C0010725    ,citicoline
C0055804    ,citiolone
C0719349    ,citracal
C3665094    ,citraconate
C0055809    ,citral
C0376259    ,citrate
C3244399    ,citravet
C0730813    ,citrical
C0605450    ,citrocarbonate
C0719354    ,citrolith
C0719355    ,citroma
C0665917    ,citronellal
C0305648    ,citrucel
C0008864    ,citrulline
C1570976    ,cjc-1295
C0092801    ,cladribine
C0701052    ,claforan
C1742018    ,clairte
C1186800    ,clairvan
C1263634    ,claradin
C1331177    ,claravis
C1948883    ,clarifoam
C0719356    ,clarine
C1101146    ,clarinex
C1619314    ,clarinex-d
C3528069    ,clario
C1170169    ,claripel
C2726892    ,claris
C4237585    ,clarispray
C2370102    ,clarite
C0055856    ,clarithromycin
C0701055    ,claritin
C0719359    ,claritin-d
C4058805    ,claro
C3473406    ,clarus
C2732158    ,clavamox
C0110038    ,clavulanate
C2740898    ,cleanzing!
C2242322    ,clearasil
C1628525    ,clear-atadine
C1649608    ,clear-atadine-d
C3265846    ,clearcanal
C2724955    ,clearlax
C0719368    ,clearplex
C1330145    ,clearskin
C0292615    ,clearsol
C4025914    ,cleartime
C0055869    ,clebopride
C2241945    ,cleeravue-m
C1724336    ,cleevec
C0008929    ,clemastine
C0055871    ,clemizolpenicillin
C0008932    ,clenbuterol
C1588776    ,clenia
C4535082    ,clenpiq
C3249347    ,clenziderm
C2918655    ,clenz-lyte
C0699673    ,cleocin
C0719372    ,cleocin-t
C0766108    ,clevidipine
C2356540    ,cleviprex
C0055877    ,clidinium
C1105819    ,climara
C0591266    ,climaval
C0666079    ,climbazole
C2955123    ,clinac
C1170171    ,clinacort
C1170173    ,clinalog
C2979679    ,clindacin
C2962180    ,clindacure
C0719375    ,clinda-derm
C1170174    ,clindagel
C1330147    ,clindamax
C3700958    ,clindamed
C0008947    ,clindamycin
C1589381    ,clindamylin
C2586752    ,clindareach
C2701925    ,clindarobe
C1529601    ,clindesse
C1097603    ,clindets
C0719377    ,clindex
C3855434    ,clindrops
C0730815    ,clinicide
C0719378    ,clinidine
C1616790    ,clinimix
C3265811    ,clinistat
C0918031    ,clinitar
C0878441    ,clinium
C3892271    ,clinolipid
C0591267    ,clinoril
C2741106    ,clinsol
C2741077    ,clintabs
C0021978    ,clioquinol
C0055891    ,clobazam
C0055894    ,clobenzorex
C0008992    ,clobetasol
C0360518    ,clobetasone
C0875993    ,clobevate
C1330150    ,clobex
C0730817    ,cloburate
C0055897    ,clobutinol
C1322002    ,clocinizine
C0055899    ,clocortolone
C3833290    ,clodan
C0719380    ,cloderm
C0092777    ,clofarabine
C0008996    ,clofazimine
C0055904    ,clofedanol
C2722656    ,clofera
C0055906    ,clofexamide
C0650237    ,clofezone
C0009002    ,clofibrate
C0055915    ,clofoctol
C1530623    ,clolar
C0008221    ,clomethiazole
C2730278    ,clomicalm
C0591268    ,clomid
C0009008    ,clomifene
C0009008    ,clomiphene
C0009010    ,clomipramine
C0055923    ,clomocycline
C0009011    ,clonazepam
C0009014    ,clonidine
C0009018    ,clonixin
C1588201    ,clonodine
C0009025    ,clopamide
C0070166    ,clopidogrel
C0009028    ,clopidol
C0701056    ,clopixol
C0055936    ,cloprednol
C0009030    ,cloprostenol
C0110093    ,clopyralid
C1588150    ,clorazepam
C0008174    ,clorazepate
C0719381    ,clorfed
C0055942    ,clorophene
C1601614    ,cloroquine
C4529569    ,clorotekal
C0719383    ,clorpres
C0064474    ,clorsulon
C4019627    ,clospirazine
C0172467    ,clostebol
C0593563    ,clotam
C0009071    ,clothiapine
C0009071    ,clotiapine
C0009073    ,clotiazepam
C3645220    ,clotrimazoil
C0009074    ,clotrimazole
C0875994    ,clotrimazole-3
C0719384    ,clotrimazole-7
C2962358    ,cloverine
C0009077    ,cloxacillin
C0719385    ,cloxapen
C0055964    ,cloxazolam
C0009079    ,clozapine
C0719386    ,clozaril
C4475844    ,cnj-016
C2683566    ,cnl8
C4057766    ,coagadex
C0719387    ,co-apap
C1869888    ,coartem
C1589419    ,cobal
C0719395    ,cobal-1000
C0086024    ,cobalamins
C0009148    ,cobalt
C0056039    ,cobamamide
C3177235    ,cobicistat
C4049146    ,cobimetinib
C1170175    ,cobolin-m
C1235701    ,cobutolin
C0009170    ,cocaine
C4081451    ,cocamide
C3872015    ,cocamine
C0009185    ,coccidioidin
C2718722    ,cocet
C4084265    ,coceth-7
C0110382    ,cochineal
C3645180    ,cocoamphoacetate
C0982090    ,cocoamphodiacetate
C3535849    ,cocoamphodipropionate
C3535819    ,cocoate
C0056058    ,coco-betaine
C0982088    ,coco-caprylate
C3474131    ,coco-caprylate-caprate
C3256135    ,coco-glycerides
C3535836    ,coco-sulfate
C0719397    ,codafed
C0591274    ,codafen
C2918670    ,codahistine
C0719403    ,codamine
C2918866    ,codegest
C0009214    ,codeine
C1171513    ,codelsol
C1262685    ,codelson
C1658635    ,codeprex
C0719416    ,codimal-la
C0719420    ,codotuss
C1948260    ,codrix
C1630655    ,cofex-dm
C0591275    ,cogentin
C0719388    ,co-gesic
C0699954    ,cognex
C2918615    ,co-histine
C0282139    ,colace
C0719391    ,co-lav
C0719424    ,colax
C0939297    ,colazal
C0595402    ,colazide
C0009262    ,colchicine
C2718492    ,colcrys
C1330160    ,coldcough
C0875995    ,coldec
C0875996    ,coldec-tr
C1098209    ,cold-eeze
C0719433    ,cold-gest
C0719436    ,coldloc-la
C1170179    ,coldmist
C2946046    ,coldonyl
C0541155    ,colesevelam
C0591276    ,colestid
C0009279    ,colestipol
C0008402    ,colestyramine
C0719438    ,colfed-a
C0360192    ,colfosceril
C2345900    ,colgate
C0719439    ,colhist
C0719441    ,colicon
C0719442    ,colidrops
C1702504    ,colistimetgate
C0009315    ,colistimethate
C0009316    ,colistin
C0009325    ,collagen
C1995590    ,"collagen,activated"
C0162745    ,collagenase
C0939299    ,colocort
C1563852    ,cologel
C0591279    ,colomycin
C0719444    ,colrex
C0702081    ,colyte
C2341028    ,colytrol
C0701072    ,combantrin
C0615451    ,combiflex
C1968041    ,combigan
C0719447    ,combipatch
C3249685    ,combi-pen-48
C0056150    ,combipres
C0591282    ,combivent
C0667846    ,combivir
C3667630    ,comboguard
C1618777    ,combunox
C3528744    ,cometriq
C1659043    ,comfortcaine
C2740507    ,comfortis
C1602177    ,comfortpak
C0591283    ,comixco
C1323229    ,comox
C0701017    ,compazine
C3191262    ,complera
C2962215    ,compoz
C0939689    ,compro
C0876730    ,comtan
C0733103    ,comtess
C0535643    ,comvax
C0719471    ,conacetol
C0719472    ,conate
C4530549    ,conazol
C0598978    ,conceptrol
C0939301    ,concerta
C0591286    ,concordin
C1724148    ,condasin
C3273430    ,condoliase
C0719476    ,condrin
C0730961    ,condyline
C0700937    ,condylox
C2918869    ,conex
C2370587    ,conffits
C2746787    ,congespirin
C2729854    ,congess
C0719481    ,congestac
C0939302    ,congestaclear
C0719482    ,congestant
C0056245    ,coniine
C0966107    ,conivaptan
C0719484    ,conray
C0719485    ,conray-30
C0719486    ,conray-400
C0719487    ,conray-43
C0719488    ,constilac
C0719489    ,constulose
C0719497    ,conte-pak-4
C0595181    ,contimin
C0591287    ,contraflam
C1170181    ,contragesic
C3252139    ,contrave
C1601651    ,contuss
C3858027    ,convenia
C0591288    ,convulex
C3204556    ,conzip
C4049141    ,copanlisib
C0056278    ,coparvax
C0528175    ,copaxone
C1170183    ,copegus
C0719502    ,cophene-x
C0719503    ,cophene-x-p
C2355853    ,co-q10
C0590686    ,coracten
C2242368    ,coraz
C0701076    ,cordarone
C0010007    ,cordilox
C0719506    ,cordran
C1631152    ,cordron-d
C0056331    ,cordycepin
C0719509    ,coreg
C0591292    ,corgard
C0591293    ,corgaretic
C0719510    ,coricidin
C2698102    ,corid
C2979809    ,corifact
C3819088    ,corisin
C4019965    ,corlanor
C0600404    ,corlopam
C0719514    ,cormax
C1617275    ,cornsilk
C1384515    ,cornstarch
C0590700    ,coro-nitro
C4306805    ,corphedra
C0719516    ,corque
C0719519    ,corrective
C0591295    ,corsodyl
C0719523    ,cortaid
C2723073    ,cortalo
C3539549    ,cortalone
C1966130    ,cortamox
C0719525    ,cortane
C1612387    ,cortane-b
C1170189    ,cortastat
C0719527    ,cortatrigen
C1170185    ,cort-biotic
C0699388    ,cort-dome
C0699389    ,cortef
C0699383    ,cortenema
C0875999    ,cortic
C0305743    ,corticaine
C1649652    ,cortic-nd
C2342989    ,corticool
C0010132    ,corticorelin
C0001655    ,corticotropin
C0719529    ,corticreme
C1602385    ,cortidex
C0305744    ,cortifoam
C1588714    ,cortilone
C1589472    ,cortimed
C1588683    ,cortinide
C0010137    ,cortisone
C2363152    ,cortisporin
C0719533    ,cortisporin-tc
C0056396    ,cortivazol
C4530218    ,cortizone
C0719522    ,cort-k
C0719538    ,cortomycin
C1511533    ,cortone
C0719528    ,cortratigen
C0701510    ,cortrosyn
C0644117    ,corvert
C0701091    ,corwin
C2722366    ,corzall
C3538426    ,corzide
C2949224    ,cosamin
C3872092    ,cosentyx
C0701095    ,cosmegen
C0719542    ,cosopt
C0591300    ,cosuric
C0010192    ,cosyntropin
C2344593    ,cotabflu
C0719544    ,cotacort
C0719545    ,cotameth
C0752175    ,cotazym
C4059049    ,cotellic
C4489867    ,cotempla
C0719547    ,cotolone
C0699584    ,cotrim
C0719393    ,co-tussin
C0719550    ,cotuss-v
C1602183    ,cotylbutazone
C1724631    ,coughtuss
C0699129    ,coumadin
C0056420    ,coumaran
C0010206    ,coumarin
C2341257    ,covace
C1948578    ,covaryx
C2741598    ,covera
C0719560    ,covera-hs
C0678178    ,coversyl
C0591301    ,cozaar
C0594514    ,cozaar-comp
C0719066    ,cp-2
C1693261    ,c-phen
C0719059    ,c.p.m.
C4476290    ,cramergesic
C0719562    ,crantex
C0010286    ,creatine
C0010294    ,creatinine
C4550728    ,credelio
C1828855    ,creomulsion
C0111046    ,creon
C0056478    ,creosol
C0010303    ,creosote
C0719564    ,creo-terpin
C0056480    ,cresatin
C4018477    ,cresemba
C0174883    ,cresol
C2948667    ,crest
C1098080    ,crestor
C1620443    ,cresylate
C0719561    ,cr-gtf
C0595048    ,crinone
C4301781    ,crisaborole
C0719570    ,critic-aid
C0701105    ,crixivan
C2974289    ,crizotinib
C0056504    ,croconazole
C1145755    ,crofab
C2744960    ,crofelemer
C0719571    ,crolom
C0010347    ,cromoglycate
C0086073    ,cromolyn
C3484462    ,croscarmellose
C0728803    ,crospovidone
C0056519    ,crotamiton
C0719573    ,cruex
C0086079    ,cryptenamine
C1330169    ,cryselle
C0593405    ,crystacide
C0719576    ,crystamine
C0591303    ,crystapen
C0719577    ,crysti-12
C0719578    ,crystodigin
C1614663    ,crytselle
C0719058    ,c-time
C3472752    ,c-topical
C4056533    ,cuadriderma
C1330170    ,cubicin
C1831755    ,culturelle
C3535856    ,cumenesulfonate
C0699483    ,cuprimine
C0591305    ,cuprofen
C0719579    ,curaler
C2586548    ,curasore
C0730974    ,curatoderm
C0308751    ,curatrem
C0010467    ,curcumin
C0056608    ,curdlan
C0111318    ,curosurf
C0699704    ,curretab
C0591306    ,cusilyn
C0719582    ,cutar
C0719583    ,cutemol
C2949399    ,cutiecaine
C0378626    ,cutivate
C4291399    ,cuvitru
C2926697    ,cuvposa
C0056643    ,cyamemazine
C4321332    ,cyanide
C0042845    ,cyanocobalamin
C0719585    ,cyanoject
C1828859    ,cyanokit
C1589457    ,cybolin-12
C0010523    ,cyclacillin
C0010524    ,cyclamate
C0010525    ,cyclandelate
C3538420    ,cyclimorph
C3247957    ,cyclivert
C0010547    ,cyclizine
C0056727    ,cycloadiphenine
C0010552    ,cyclobarbital
C0056732    ,cyclobenzaprine
C1263567    ,cyclobral
C0056739    ,cyclobutyrol
C0719586    ,cyclocort
C0010558    ,cyclodextrins
C0591308    ,cyclodox
C0056747    ,cyclodrine
C0010560    ,cyclofenil
C0591309    ,cyclogest
C0010563    ,cyclogyl
C0010566    ,cyclohexane
C0772202    ,cyclomethicone
C0056780    ,cyclomethycaine
C0591310    ,cyclomin
C0305770    ,cyclomydril
C0056783    ,cyclonium
C0163082    ,cyclopentamine
C0010581    ,cyclopenthiazide
C0010582    ,cyclopentolate
C0010583    ,cyclophosphamide
C0010590    ,cycloserine
C2718951    ,cycloset
C0795734    ,cyclospasmol
C0010592    ,cyclosporine
C0056831    ,cyclothiazide
C0719587    ,cycofed
C0056835    ,cycrimine
C0699705    ,cycrin
C0719590    ,cydec
C0525570    ,cydectin
C0591311    ,cyklokapron
C0719593    ,cylate
C0719594    ,cylert
C1505021    ,cymbalta
C0591313    ,cymevene
C2918514    ,cyndal
C0719598    ,cyomin
C1330171    ,cyotic
C1628390    ,cypex
C0056852    ,cyprodenate
C0010620    ,cyproheptadine
C0591314    ,cyprostat
C0010621    ,cyproterone
C3819069    ,cyramza
C1614668    ,cyslosporine
C1330172    ,cystadane
C0733368    ,cystagon
C0010637    ,cystamine
C3500075    ,cystaran
C0010648    ,cysteamine
C0010654    ,cysteine
C0719599    ,cystemms-v
C0719600    ,cystex
C0010682    ,cystine
C0719601    ,cysto-conray
C0719603    ,cystografin
C0719604    ,cystografin-dilute
C0308762    ,cystorelin
C0305774    ,cystospaz
C0305775    ,cystospaz-m
C0591318    ,cytacon
C0591920    ,cytadren
C0591319    ,cytamen
C0010711    ,cytarabine
C0056913    ,cytisine
C0719605    ,cytogam
C0010826    ,cytomel
C0591320    ,cytosar
C0010843    ,cytosine
C0591321    ,cytotec
C0701307    ,cytovene
C0699319    ,cytoxan
C0719608    ,cytra-3
C0719609    ,cytra-k
C2348066    ,dabigatran
C3467876    ,dabrafenib
C1589633    ,dacabazine
C0010927    ,dacarbazine
C3252090    ,daclatasvir
C0663182    ,daclizumab
C1712036    ,dacogen
C1263533    ,dactil
C0010934    ,dactinomycin
C0719647    ,dailyhist-1
C0719648    ,dailyhist-d
C4046850    ,daklinza
C0591322    ,daktarin
C0719652    ,dalalone
C4018754    ,dalay
C1172636    ,dalbavancin
C0000477    ,dalfampridine
C0756085    ,dalfopristin
C0719655    ,dalgan
C2980159    ,daliresp
C0719656    ,dallergy
C0719657    ,dallergy-jr
C0733803    ,dalmane
C2987605    ,dalotuzumab
C0206461    ,dalteparin
C3832636    ,dalvance
C0305798    ,damason-p
C2729791    ,d-amine
C0719611    ,d-amine-sr
C0259507    ,danaparoid
C0010961    ,danazol
C0719658    ,dandrex
C0813502    ,danocrine
C0112317    ,danofloxacin
C0057135    ,danthron
C0010975    ,dantrium
C0010976    ,dantrolene
C0057135    ,dantron
C0700719    ,daonil
C2353951    ,dapagliflozin
C0057143    ,dapiprazole
C0010980    ,dapsone
C1170200    ,daptacel
C0057144    ,daptomycin
C0591325    ,daranide
C0591326    ,daraprim
C2346801    ,daratumumab
C2683194    ,darcalma
C0529351    ,darifenacin
C2683200    ,darpaz
C1435444    ,darunavir
C0639958    ,darutoside
C1514497    ,darvocet
C0701094    ,darvon
C0305808    ,darvon-n
C4058940    ,darzalex
C3852512    ,dasabuvir
C1455147    ,dasatinib
C0011015    ,daunorubicin
C0592528    ,daunoxome
C2946197    ,dawnmist
C4306811    ,daxbia
C3152651    ,dayhist-1
C0719668    ,dayhist-d
C2719920    ,dayli
C0603695    ,daypro
C0719674    ,dayto-himbin
C1691676    ,daytrana
C2343931    ,dazidox
C0982111    ,d-biotin
C0719623    ,dc-240
C0719612    ,d-caine
C3696393    ,d-cal
C0701195    ,ddavp
C0058139    ,deacetylbisacodyl
C1262694    ,deanase
C0011064    ,deanol
C0765696    ,debacterol
C0011082    ,debrisoquin
C0011082    ,debrisoquine
C0719678    ,debrox
C3665632    ,deca
C0740057    ,decadron
C0719684    ,decadron-la
C0701192    ,deca-durabolin
C0719686    ,decaject
C0719687    ,decaject-l.a.
C4224855    ,decalcitrol
C0057233    ,decamethrin
C3531403    ,decamethyltetrasiloxane
C0669388    ,decan-4-olide
C0057236    ,decanal
C3537745    ,decara
C0701260    ,decaspray
C1590551    ,decavac
C1263073    ,decazate
C4074339    ,deceth-6
C4080600    ,deceth-8
C0719688    ,decholin
C0049065    ,decitabine
C0591329    ,declinax
C0701198    ,declomycin
C0719689    ,deco-d
C0719691    ,decofed
C2918676    ,decohistine
C0719695    ,deconamine
C1588219    ,deconex
C1529255    ,decongest
C1601779    ,decongestamine
C0719702    ,decongestant-sr
C1589481    ,decongest-b
C1601784    ,de-congestine
C0719703    ,decongex-3
C0719690    ,deco-p
C0011122    ,decoquinate
C0591330    ,decortisyl
C0719710    ,decotuss-hd
C0248571    ,dectomax
C3256908    ,decyloxazolidinone
C0719713    ,defen-la
C1619629    ,deferasirox
C0043832    ,deferiprone
C0011145    ,deferoxamine
C0057257    ,defibrotide
C0963149    ,definity
C4224861    ,defitelio
C0057258    ,deflazacort
C0299556    ,deflux
C1455035    ,degarelix
C0719714    ,degas
C2948485    ,degest
C1702612    ,dehistine
C3663396    ,dehydroabietate
C3535855    ,dehydroacetate
C0591413    ,dehydrobenzperidol
C0086108    ,dehydrocholate
C0082286    ,dehydroemetine
C0011185    ,dehydroisoandrosterone
C0057293    ,dehydrosanol
C2828290    ,delafloxacin
C0719718    ,del-aqua
C0719721    ,delatest
C0719722    ,delatestadiol
C0719723    ,delatestryl
C0288165    ,delavirdine
C0719724    ,delazinc
C0719719    ,del-beta
C0719725    ,delcort
C1096767    ,delestrogen
C0591332    ,delfen
C2364646    ,delflex
C0166532    ,delmopinol
C0719720    ,del-mycin
C1588144    ,delone
C0719729    ,delonide
C0011218    ,delsym
C1601209    ,deltalin
C0719731    ,delta-lutin
C0740144    ,deltasone
C3535792    ,delzicol
C0243946    ,demadex
C0719734    ,demazin
C0360174    ,demecarium
C0011276    ,demeclocycline
C0057362    ,demegestone
C0772108    ,demelverin
C0935966    ,demerol
C0719736    ,demi-cof
C0719737    ,demi-regroton
C0591336    ,demix
C0591337    ,demser
C0112957    ,demulen
C2827132    ,denatonium
C0057383    ,denaverine
C0719742    ,denavir
C0699409    ,dendrid
C0057195    ,de-nol
C0719743    ,denorex
C1690432    ,denosumab
C1635211    ,dentagel
C2978330    ,dentapaine
C1590095    ,denticare
C2911905    ,denti-rinse
C2724978    ,dent-o-kain
C0731509    ,dentomycin
C0086123    ,deoxycholate
C0035417    ,deoxymannose
C0011522    ,deoxyribonucleases
C0040077    ,deoxyribosylthymine
C0719750    ,depacon
C1602849    ,depade
C0700661    ,depakene
C1588448    ,depakota
C0719751    ,depakote
C1602027    ,depandrate
C0719754    ,depen
C1589587    ,depestrate
C2946219    ,dephyze
C0678159    ,depixol
C1588635    ,depletite
C0719755    ,depmedalone
C1170205    ,depo-cobolin
C0677882    ,depocyt
C1620460    ,depodur
C0113071    ,depo-estradiol
C0719759    ,depoject-80
C0057476    ,depo-medrol
C0590701    ,deponit
C0719760    ,depopred
C0719756    ,depo-predate
C0699700    ,depo-provera
C0719761    ,depotest
C0719758    ,depo-testadiol
C0719762    ,depotestogen
C0113075    ,depo-testosterone
C2920941    ,deprizine
C2918679    ,deproist
C0011588    ,dequalinium
C1174840    ,deracoxib
C1741456    ,deramaxx
C0719764    ,derifil
C2946188    ,dermabon
C0719768    ,dermacin
C0308789    ,dermacool
C0699391    ,dermacort
C3465177    ,dermafive
C2723143    ,dermafix
C0719769    ,dermaflex
C1698246    ,dermafungal
C2978344    ,dermagesic
C0719770    ,dermagran
C3856117    ,dermakleen
C3643592    ,dermal-soothe
C2241671    ,dermalzone
C1879333    ,dermamycin
C0876733    ,derma-pax
C1700191    ,dermaphor
C3465026    ,dermaplex
C1813321    ,dermarest
C3531441    ,dermasana
C1698704    ,dermasarra
C3538496    ,dermasav
C3495143    ,dermaseptin
C2725122    ,dermasil
C0534487    ,dermasorb
C3160082    ,dermatin
C0719779    ,dermatop
C3663344    ,dermawound
C1737802    ,dermaxx
C1170209    ,dermazene
C1170210    ,dermazinc
C3696390    ,dermazole
C3819054    ,dermazor
C0719780    ,dermocaine
C0719782    ,dermolate
C2963093    ,dermoneen
C0719783    ,dermoplast
C1724689    ,dermosedan
C1700815    ,dermotic
C0731514    ,dermovate
C0719785    ,dermuspray
C4224857    ,descovy
C3486078    ,desempacho
C0719787    ,desenex
C0175158    ,deserpidine
C0591350    ,desferal
C0063252    ,desflurane
C0011685    ,desipramine
C0378366    ,desirudin
C0719792    ,desitin
C0011689    ,deslanoside
C0908935    ,desloratadine
C0083220    ,deslorelin
C2699600    ,desmeninol
C0011701    ,desmopressin
C0057558    ,desogestrel
C1815303    ,desonate
C0011705    ,desonide
C3160268    ,desonil
C0719795    ,desowen
C1588664    ,desoximetasol
C0011707    ,desoximetasone
C0011710    ,desoxycorticosterone
C0011710    ,desoxycortone
C0728809    ,desoxyn
C0011522    ,desoxyribonuclease
C0719797    ,despec
C2978351    ,despec-pdc
C0876005    ,despec-sf
C2917495    ,desquam
C0719800    ,desquam-e
C1589023    ,desquam-x
C0591353    ,destolit
C1880288    ,desvenlafaxine
C0701914    ,desyrel
C0075765    ,detajmium
C1702666    ,detamethasone
C0719804    ,detane
C0057577    ,detomidine
C0719805    ,detrol
C0699632    ,dettol
C0719806    ,detussin
C4277781    ,deutetrabenazine
C4520123    ,devrom
C1657532    ,dex4
C0719810    ,dexacen-4
C0719811    ,dexacidin
C0719812    ,dexacine
C0719816    ,dexacorten
C0719815    ,dexacort-la
C1588069    ,dexair
C2725028    ,dexaject
C0939313    ,dexalone
C0011777    ,dexamethasone
C0011812    ,dexamfetamine
C0719822    ,dexasol
C0701253    ,dexasone
C0719824    ,dexasporin
C0700678    ,dexatrim
C0057605    ,dexbrompheniramine
C0057606    ,dexchlorpheniramine
C2732176    ,dexdomitor
C0591355    ,dexedrine
C0011785    ,dexetimide
C0011786    ,dexfenfluramine
C0719809    ,dexferrum
C2609580    ,dexilant
C2979939    ,dexium
C0772505    ,dexketoprofen
C2348248    ,dexlansoprazole
C0113293    ,dexmedetomidine
C1602394    ,dexmethasone
C1169997    ,dexmethylphenidate
C1949470    ,dexodryl
C0011789    ,dexol
C0701258    ,dexone
C0719827    ,dexophed
C0057610    ,dexpanthenol
C0086444    ,dexrazoxane
C0086140    ,dextran
C0057621    ,dextranomer
C1509305    ,dextrates
C1177015    ,dextraven-110
